username,follower_count,is_verified,verified_type,tweet_text,retweet_count,mention_count
actorvijay,5486015,True,blue,#JanaNayaganSecondLook,28471,0
actorvijay,5486015,True,blue,#JanaNayagan,39404,0
actorvijay,5486015,True,blue,"Best wishes to @Atlee_dir @Varun_dvn @KeerthyOfficial @priyaatlee #WamiqaGabbi @MusicThaman @kalees_dir @AntonyLRuben and the entire #BabyJohn team for the release tomorrow.

Wishing you all a blockbuster success ♥️",15461,7
actorvijay,5486015,True,blue,"என் நெஞ்சில் குடியிருக்கும் தோழர்களுக்கு, 
வணக்கம்.

பெயரைப் போல சில விசயங்களைத் திரும்பத் திரும்பச் சொல்லியே ஆக வேண்டும். அப்படித்தான் கடிதங்களில் சொன்னதையே இங்கு மீண்டும் வலியுறுத்தப்போகிறேன். 

காரணம்,எல்லா வகைகளிலும் எனக்கு நீங்களும் உங்கள் பாதுகாப்புமே…",23634,0
actorvijay,5486015,True,blue,#TheGOAT,35409,0
actorvijay,5486015,True,blue,Tamilaga Vettri Kazhagam: Flag Anthem | தமிழக வெற்றிக் கழகம்: கொடிப் பாடல்,25656,0
actorvijay,5486015,True,blue,#TheGoatTrailer,33409,0
actorvijay,5486015,True,blue,,32768,0
actorvijay,5486015,True,blue,#ChinnaChinnaKangal,18984,0
actorvijay,5486015,True,blue,#ChinnaChinnaKangal,20707,0
